time,x,y,z,altitude
0.000,0.021938,0.032125,-0.003268,0.003268
0.007,0.021981,0.032017,-0.003330,0.003330
0.019,0.022063,0.031805,-0.003455,0.003455
0.027,0.022105,0.031701,-0.003518,0.003518
0.039,0.022133,0.031500,-0.003621,0.003621
0.047,0.022147,0.031402,-0.003673,0.003673
0.059,0.022161,0.031305,-0.003725,0.003725
0.067,0.022143,0.031221,-0.003762,0.003762
0.079,0.022108,0.031056,-0.003837,0.003837
0.087,0.022092,0.030975,-0.003876,0.003876
0.099,0.022043,0.030913,-0.003894,0.003894
0.107,0.021994,0.030852,-0.003914,0.003914
0.119,0.021899,0.030731,-0.003960,0.003960
0.127,0.021806,0.030688,-0.003969,0.003969
0.139,0.021714,0.030647,-0.003979,0.003979
0.147,0.021624,0.030605,-0.003991,0.003991
0.159,0.021413,0.030528,-0.004005,0.004005
0.167,0.021292,0.030493,-0.004008,0.004008
0.179,0.021173,0.030458,-0.004013,0.004013
0.187,0.021055,0.030424,-0.004015,0.004015
0.199,0.020769,0.030388,-0.003993,0.003993
0.207,0.020629,0.030371,-0.003985,0.003985
0.219,0.020491,0.030354,-0.003979,0.003979
0.227,0.020354,0.030338,-0.003973,0.003973
0.239,0.020048,0.030287,-0.003919,0.003919
0.247,0.019898,0.030262,-0.003894,0.003894
0.259,0.019750,0.030238,-0.003871,0.003871
0.267,0.019581,0.030200,-0.003830,0.003830
0.280,0.019249,0.030124,-0.003753,0.003753
0.287,0.019086,0.030086,-0.003719,0.003719
0.300,0.018928,0.030047,-0.003672,0.003672
0.307,0.018771,0.030008,-0.003628,0.003628
0.319,0.018464,0.029931,-0.003548,0.003548
0.327,0.018315,0.029886,-0.003491,0.003491
0.339,0.018168,0.029842,-0.003437,0.003437
0.347,0.018022,0.029799,-0.003385,0.003385
0.359,0.017878,0.029757,-0.003336,0.003336
0.367,0.017732,0.029723,-0.003274,0.003274
0.379,0.017446,0.029657,-0.003158,0.003158
0.387,0.017305,0.029624,-0.003104,0.003104
0.400,0.017031,0.029558,-0.002940,0.002940
0.407,0.016897,0.029525,-0.002863,0.002863
0.419,0.016763,0.029493,-0.002790,0.002790
0.427,0.016634,0.029461,-0.002673,0.002673
0.439,0.016380,0.029399,-0.002453,0.002453
0.447,0.016256,0.029369,-0.002349,0.002349
0.459,0.016133,0.029331,-0.002230,0.002230
0.467,0.016012,0.029294,-0.002116,0.002116
0.479,0.015771,0.029221,-0.001902,0.001902
0.487,0.015652,0.029185,-0.001803,0.001803
0.500,0.015522,0.029137,-0.001687,0.001687
0.507,0.015393,0.029090,-0.001576,0.001576
0.519,0.015139,0.028999,-0.001364,0.001364
0.527,0.014993,0.028943,-0.001248,0.001248
0.539,0.014850,0.028888,-0.001136,0.001136
0.547,0.014708,0.028833,-0.001032,0.001032
0.559,0.014421,0.028706,-0.000815,0.000815
0.567,0.014276,0.028633,-0.000702,0.000702
0.579,0.014133,0.028562,-0.000592,0.000592
0.587,0.013991,0.028491,-0.000486,0.000486
0.600,0.013712,0.028297,-0.000288,0.000288
0.607,0.013576,0.028201,-0.000196,0.000196
0.619,0.013441,0.028106,-0.000106,0.000106
0.627,0.013309,0.027992,-0.000024,0.000024
0.639,0.013050,0.027766,0.000133,-0.000133
0.647,0.012924,0.027655,0.000207,-0.000207
0.659,0.012802,0.027531,0.000270,-0.000270
0.667,0.012682,0.027408,0.000314,-0.000314
0.679,0.012445,0.027166,0.000397,-0.000397
0.687,0.012319,0.027038,0.000435,-0.000435
0.700,0.012195,0.026912,0.000472,-0.000472
0.707,0.012072,0.026787,0.000508,-0.000508
0.719,0.011951,0.026663,0.000541,-0.000541
0.727,0.011830,0.026533,0.000566,-0.000566
0.739,0.011594,0.026277,0.000611,-0.000611
0.747,0.011478,0.026152,0.000632,-0.000632
0.759,0.011256,0.025902,0.000661,-0.000661
0.767,0.011150,0.025779,0.000668,-0.000668
0.779,0.011045,0.025657,0.000673,-0.000673
0.787,0.010941,0.025535,0.000685,-0.000685
0.800,0.010777,0.025306,0.000693,-0.000693
0.807,0.010696,0.025193,0.000695,-0.000695
0.819,0.010616,0.025080,0.000696,-0.000696
0.827,0.010554,0.024972,0.000695,-0.000695
0.839,0.010432,0.024759,0.000687,-0.000687
0.847,0.010372,0.024653,0.000679,-0.000679
