time,x,y,z,altitude
0.000,0.014135,0.005656,-0.015199,0.015199
0.012,0.014222,0.005565,-0.015226,0.015226
0.020,0.014308,0.005473,-0.015253,0.015253
0.032,0.014467,0.005281,-0.015316,0.015316
0.040,0.014540,0.005180,-0.015349,0.015349
0.052,0.014613,0.005079,-0.015381,0.015381
0.060,0.014685,0.004978,-0.015412,0.015412
0.072,0.014813,0.004776,-0.015480,0.015480
0.080,0.014876,0.004675,-0.015506,0.015506
0.092,0.014939,0.004574,-0.015531,0.015531
0.100,0.015000,0.004471,-0.015563,0.015563
0.113,0.015122,0.004265,-0.015625,0.015625
0.120,0.015182,0.004161,-0.015655,0.015655
0.132,0.015251,0.004058,-0.015689,0.015689
0.140,0.015319,0.003956,-0.015722,0.015722
0.152,0.015454,0.003749,-0.015776,0.015776
0.160,0.015532,0.003645,-0.015801,0.015801
0.172,0.015608,0.003542,-0.015826,0.015826
0.180,0.015684,0.003438,-0.015851,0.015851
0.192,0.015841,0.003232,-0.015905,0.015905
0.200,0.015923,0.003130,-0.015960,0.015960
0.212,0.016003,0.003029,-0.016015,0.016015
0.220,0.016083,0.002926,-0.016069,0.016069
0.232,0.016249,0.002751,-0.016166,0.016166
0.240,0.016330,0.002663,-0.016214,0.016214
0.252,0.016411,0.002573,-0.016260,0.016260
0.260,0.016491,0.002483,-0.016307,0.016307
0.272,0.016649,0.002333,-0.016355,0.016355
0.280,0.016727,0.002257,-0.016379,0.016379
0.292,0.016804,0.002181,-0.016403,0.016403
0.300,0.016887,0.002129,-0.016412,0.016412
0.312,0.017051,0.002021,-0.016433,0.016433
0.320,0.017131,0.001964,-0.016466,0.016466
0.332,0.017224,0.001933,-0.016488,0.016488
0.340,0.017314,0.001899,-0.016510,0.016510
0.352,0.017493,0.001827,-0.016554,0.016554
0.360,0.017601,0.001810,-0.016566,0.016566
0.372,0.017708,0.001792,-0.016577,0.016577
0.380,0.017815,0.001773,-0.016590,0.016590
0.392,0.018048,0.001741,-0.016602,0.016602
0.400,0.018173,0.001728,-0.016601,0.016601
0.412,0.018297,0.001713,-0.016600,0.016600
0.420,0.018420,0.001697,-0.016600,0.016600
0.432,0.018700,0.001649,-0.016556,0.016556
0.440,0.018839,0.001622,-0.016542,0.016542
0.452,0.018976,0.001595,-0.016528,0.016528
0.460,0.019122,0.001579,-0.016503,0.016503
