time,x,y,z,altitude
0.000,0.054886,-0.036697,0.028661,-0.028661
0.008,0.054809,-0.036589,0.028669,-0.028669
0.020,0.054660,-0.036384,0.028715,-0.028715
0.028,0.054560,-0.036232,0.028750,-0.028750
0.040,0.054463,-0.036085,0.028787,-0.028787
0.048,0.054369,-0.035943,0.028825,-0.028825
0.060,0.054187,-0.035673,0.028907,-0.028907
0.068,0.054072,-0.035498,0.028943,-0.028943
0.080,0.053959,-0.035328,0.028990,-0.028990
0.088,0.053849,-0.035162,0.029039,-0.029039
0.100,0.053624,-0.034798,0.029121,-0.029121
0.108,0.053509,-0.034600,0.029156,-0.029156
0.120,0.053396,-0.034407,0.029191,-0.029191
0.128,0.053286,-0.034218,0.029228,-0.029228
0.140,0.053056,-0.033796,0.029340,-0.029340
0.148,0.052945,-0.033592,0.029397,-0.029397
0.160,0.052836,-0.033394,0.029455,-0.029455
0.168,0.052723,-0.033173,0.029492,-0.029492
0.180,0.052503,-0.032747,0.029569,-0.029569
0.188,0.052397,-0.032542,0.029608,-0.029608
0.200,0.052302,-0.032322,0.029650,-0.029650
0.208,0.052209,-0.032107,0.029692,-0.029692
0.220,0.052031,-0.031693,0.029778,-0.029778
0.228,0.051953,-0.031468,0.029810,-0.029810
0.240,0.051878,-0.031248,0.029842,-0.029842
0.248,0.051805,-0.031033,0.029874,-0.029874
0.260,0.051657,-0.030592,0.029955,-0.029955
0.268,0.051582,-0.030366,0.029995,-0.029995
0.280,0.051509,-0.030146,0.030034,-0.030034
0.288,0.051439,-0.029931,0.030075,-0.030075
0.300,0.051268,-0.029488,0.030176,-0.030176
0.308,0.051186,-0.029275,0.030227,-0.030227
0.320,0.051107,-0.029066,0.030259,-0.030259
0.328,0.051029,-0.028863,0.030291,-0.030291
0.340,0.050821,-0.028435,0.030348,-0.030348
0.348,0.050722,-0.028229,0.030377,-0.030377
0.360,0.050625,-0.028028,0.030408,-0.030408
0.368,0.050509,-0.027836,0.030434,-0.030434
0.380,0.050395,-0.027649,0.030438,-0.030438
0.388,0.050176,-0.027290,0.030451,-0.030451
0.400,0.050053,-0.027122,0.030454,-0.030454
0.408,0.049932,-0.026960,0.030460,-0.030460
0.420,0.049699,-0.026648,0.030474,-0.030474
0.428,0.049584,-0.026494,0.030490,-0.030490
0.440,0.049472,-0.026346,0.030501,-0.030501
0.448,0.049363,-0.026202,0.030513,-0.030513
0.460,0.049146,-0.025931,0.030526,-0.030526
0.468,0.049038,-0.025802,0.030526,-0.030526
0.480,0.048934,-0.025678,0.030528,-0.030528
0.488,0.048832,-0.025559,0.030531,-0.030531
0.500,0.048621,-0.025339,0.030528,-0.030528
0.508,0.048518,-0.025235,0.030528,-0.030528
0.520,0.048417,-0.025136,0.030530,-0.030530
0.528,0.048303,-0.025038,0.030504,-0.030504
0.540,0.048081,-0.024855,0.030457,-0.030457
0.548,0.047973,-0.024771,0.030436,-0.030436
0.560,0.047848,-0.024677,0.030396,-0.030396
0.568,0.047725,-0.024588,0.030358,-0.030358
0.580,0.047484,-0.024423,0.030289,-0.030289
0.588,0.047368,-0.024348,0.030258,-0.030258
0.600,0.047251,-0.024267,0.030210,-0.030210
0.608,0.047136,-0.024190,0.030164,-0.030164
0.620,0.046911,-0.024051,0.030054,-0.030054
0.628,0.046802,-0.023967,0.029975,-0.029975
0.640,0.046695,-0.023888,0.029899,-0.029899
0.648,0.046590,-0.023813,0.029825,-0.029825
0.660,0.046390,-0.023653,0.029645,-0.029645
0.668,0.046296,-0.023567,0.029539,-0.029539
0.680,0.046202,-0.023485,0.029429,-0.029429
0.688,0.046110,-0.023409,0.029321,-0.029321
0.700,0.045963,-0.023183,0.029061,-0.029061
0.708,0.045890,-0.023077,0.028936,-0.028936
0.720,0.045818,-0.022976,0.028814,-0.028814
0.728,0.045753,-0.022841,0.028659,-0.028659
0.740,0.045625,-0.022586,0.028359,-0.028359
0.748,0.045562,-0.022466,0.028215,-0.028215
0.760,0.045501,-0.022321,0.028025,-0.028025
0.768,0.045440,-0.022181,0.027838,-0.027838
0.780,0.045320,-0.021916,0.027478,-0.027478
0.788,0.045257,-0.021770,0.027260,-0.027260
0.800,0.045195,-0.021630,0.027060,-0.027060
0.808,0.045133,-0.021494,0.026865,-0.026865
0.820,0.045009,-0.021210,0.026444,-0.026444
0.828,0.044948,-0.021062,0.026219,-0.026219
0.840,0.044887,-0.020919,0.026000,-0.026000
0.848,0.044827,-0.020781,0.025784,-0.025784
0.860,0.044768,-0.020648,0.025566,-0.025566
0.868,0.044603,-0.020339,0.025045,-0.025045
0.880,0.044523,-0.020191,0.024792,-0.024792
0.888,0.044444,-0.020048,0.024545,-0.024545
0.900,0.044251,-0.019707,0.023984,-0.023984
0.908,0.044157,-0.019543,0.023711,-0.023711
0.920,0.044064,-0.019384,0.023435,-0.023435
0.928,0.043971,-0.019190,0.023134,-0.023134
0.940,0.043788,-0.018815,0.022547,-0.022547
0.948,0.043699,-0.018634,0.022262,-0.022262
0.960,0.043609,-0.018433,0.021960,-0.021960
0.968,0.043520,-0.018238,0.021663,-0.021663
0.980,0.043348,-0.017859,0.021124,-0.021124
0.988,0.043268,-0.017657,0.020846,-0.020846
1.000,0.043189,-0.017458,0.020573,-0.020573
1.008,0.043112,-0.017264,0.020305,-0.020305
1.020,0.042969,-0.016871,0.019767,-0.019767
1.028,0.042902,-0.016672,0.019499,-0.019499
1.040,0.042836,-0.016477,0.019246,-0.019246
1.048,0.042772,-0.016286,0.018997,-0.018997
1.060,0.042642,-0.015878,0.018501,-0.018501
1.068,0.042579,-0.015679,0.018259,-0.018259
1.080,0.042517,-0.015484,0.018021,-0.018021
1.088,0.042467,-0.015276,0.017786,-0.017786
1.100,0.042370,-0.014873,0.017284,-0.017284
1.108,0.042324,-0.014676,0.017039,-0.017039
1.120,0.042280,-0.014484,0.016799,-0.016799
1.128,0.042237,-0.014279,0.016562,-0.016562
1.140,0.042154,-0.013878,0.016100,-0.016100
1.148,0.042115,-0.013683,0.015875,-0.015875
1.160,0.042070,-0.013474,0.015679,-0.015679
1.168,0.042027,-0.013269,0.015487,-0.015487
1.180,0.041943,-0.012869,0.015111,-0.015111
1.188,0.041919,-0.012666,0.014922,-0.014922
1.200,0.041896,-0.012466,0.014737,-0.014737
1.208,0.041874,-0.012269,0.014555,-0.014555
1.220,0.041829,-0.011857,0.014223,-0.014223
1.228,0.041807,-0.011642,0.014063,-0.014063
1.240,0.041785,-0.011431,0.013905,-0.013905
1.248,0.041765,-0.011222,0.013750,-0.013750
1.260,0.041716,-0.010776,0.013458,-0.013458
1.268,0.041693,-0.010558,0.013316,-0.013316
1.280,0.041670,-0.010343,0.013158,-0.013158
1.288,0.041648,-0.010111,0.013011,-0.013011
1.300,0.041605,-0.009656,0.012725,-0.012725
1.308,0.041585,-0.009434,0.012586,-0.012586
1.320,0.041548,-0.009202,0.012465,-0.012465
1.328,0.041511,-0.008973,0.012346,-0.012346
1.340,0.041439,-0.008526,0.012074,-0.012074
1.348,0.041389,-0.008302,0.011964,-0.011964
1.360,0.041339,-0.008081,0.011857,-0.011857
1.368,0.041290,-0.007862,0.011750,-0.011750
1.380,0.041195,-0.007433,0.011544,-0.011544
1.388,0.041152,-0.007218,0.011442,-0.011442
1.400,0.041109,-0.007006,0.011338,-0.011338
1.408,0.041067,-0.006796,0.011237,-0.011237
1.420,0.041026,-0.006589,0.011137,-0.011137
1.428,0.040924,-0.006158,0.010960,-0.010960
1.440,0.040874,-0.005946,0.010874,-0.010874
1.448,0.040825,-0.005737,0.010790,-0.010790
1.460,0.040709,-0.005313,0.010635,-0.010635
1.468,0.040652,-0.005105,0.010560,-0.010560
1.480,0.040595,-0.004899,0.010486,-0.010486
1.488,0.040531,-0.004686,0.010431,-0.010431
1.500,0.040405,-0.004264,0.010325,-0.010325
1.508,0.040343,-0.004057,0.010274,-0.010274
1.520,0.040248,-0.003842,0.010249,-0.010249
1.528,0.040155,-0.003629,0.010225,-0.010225
1.540,0.039967,-0.003209,0.010176,-0.010176
1.548,0.039847,-0.002984,0.010177,-0.010177
1.560,0.039728,-0.002763,0.010177,-0.010177
1.568,0.039609,-0.002544,0.010178,-0.010178
1.580,0.039355,-0.002108,0.010245,-0.010245
1.588,0.039220,-0.001891,0.010296,-0.010296
1.600,0.039085,-0.001676,0.010346,-0.010346
